"Maze ID","Block ID","Block type","Block title","Block description","Tester ID","Started at","Completed at","Study duration (seconds)","Device type","OS","Vendor","Model","Browser","Browser version","Language","Source","Reach email","Mission type","Path","Screen ID","Screen duration (seconds)","Total duration (seconds)","Success","Give up","x","y","Total click count","Total misclick count","Misclick rate","Total misclick page count"
"456992930","bcb23ac4-156a-48c9-a4a2-1621ddf36503","mission","📍 | Missão 2 – Página Principal","❓ | Aqui, você terá contato com a tela inicial do aplicativo, onde são apresentadas as principais informações e conteúdos. Explore a interface e identifique como a navegação é organizada.

🔵 | Lembre-se: nenhuma funcionalidade está ativa neste protótipo.

🎯 | Objetivo: Acessar a tela do formulário.
","454693742","2025-10-20 14:08:21","2025-10-20 14:10:19",117.5,,"Windows",,,"Edge","141.0.0.0","pt-BR","link",,"GOAL_BASED","1151:1444;1151:1602;1151:1444;1151:1602;1151:1767","1151:1444",8.2,8.18,"TRUE","FALSE",39,54,5,1,"20.00%",1
"456992930","bcb23ac4-156a-48c9-a4a2-1621ddf36503","mission","📍 | Missão 2 – Página Principal","❓ | Aqui, você terá contato com a tela inicial do aplicativo, onde são apresentadas as principais informações e conteúdos. Explore a interface e identifique como a navegação é organizada.

🔵 | Lembre-se: nenhuma funcionalidade está ativa neste protótipo.

🎯 | Objetivo: Acessar a tela do formulário.
","454693742","2025-10-20 14:08:21","2025-10-20 14:10:19",117.5,,"Windows",,,"Edge","141.0.0.0","pt-BR","link",,"GOAL_BASED","1151:1444;1151:1602;1151:1444;1151:1602;1151:1767","1151:1444",8.2,8.18,"TRUE","FALSE",67,54,5,1,"20.00%",1
"456992930","bcb23ac4-156a-48c9-a4a2-1621ddf36503","mission","📍 | Missão 2 – Página Principal","❓ | Aqui, você terá contato com a tela inicial do aplicativo, onde são apresentadas as principais informações e conteúdos. Explore a interface e identifique como a navegação é organizada.

🔵 | Lembre-se: nenhuma funcionalidade está ativa neste protótipo.

🎯 | Objetivo: Acessar a tela do formulário.
","454693742","2025-10-20 14:08:21","2025-10-20 14:10:19",117.5,,"Windows",,,"Edge","141.0.0.0","pt-BR","link",,"GOAL_BASED","1151:1444;1151:1602;1151:1444;1151:1602;1151:1767","1151:1444",,8.18,"TRUE","FALSE",41,44,5,1,"20.00%",1
"456992930","bcb23ac4-156a-48c9-a4a2-1621ddf36503","mission","📍 | Missão 2 – Página Principal","❓ | Aqui, você terá contato com a tela inicial do aplicativo, onde são apresentadas as principais informações e conteúdos. Explore a interface e identifique como a navegação é organizada.

🔵 | Lembre-se: nenhuma funcionalidade está ativa neste protótipo.

🎯 | Objetivo: Acessar a tela do formulário.
","454693742","2025-10-20 14:08:21","2025-10-20 14:10:19",117.5,,"Windows",,,"Edge","141.0.0.0","pt-BR","link",,"GOAL_BASED","1151:1444;1151:1602;1151:1444;1151:1602;1151:1767","1151:1602",,8.18,"TRUE","FALSE",61,79,5,1,"20.00%",1
"456992930","bcb23ac4-156a-48c9-a4a2-1621ddf36503","mission","📍 | Missão 2 – Página Principal","❓ | Aqui, você terá contato com a tela inicial do aplicativo, onde são apresentadas as principais informações e conteúdos. Explore a interface e identifique como a navegação é organizada.

🔵 | Lembre-se: nenhuma funcionalidade está ativa neste protótipo.

🎯 | Objetivo: Acessar a tela do formulário.
","454693742","2025-10-20 14:08:21","2025-10-20 14:10:19",117.5,,"Windows",,,"Edge","141.0.0.0","pt-BR","link",,"GOAL_BASED","1151:1444;1151:1602;1151:1444;1151:1602;1151:1767","1151:1602",,8.18,"TRUE","FALSE",62,46,5,1,"20.00%",1
"456992930","bcb23ac4-156a-48c9-a4a2-1621ddf36503","mission","📍 | Missão 2 – Página Principal","❓ | Aqui, você terá contato com a tela inicial do aplicativo, onde são apresentadas as principais informações e conteúdos. Explore a interface e identifique como a navegação é organizada.

🔵 | Lembre-se: nenhuma funcionalidade está ativa neste protótipo.

🎯 | Objetivo: Acessar a tela do formulário.
","457215158","2025-10-20 19:27:18","2025-10-20 19:51:37",1458.5,,"Mac OS","Apple","Macintosh","Chrome","130.0.0.0","pt-BR","link",,"GOAL_BASED","1151:1444;1151:1767","1151:1444",11.3,11.3,"TRUE","FALSE",50,12,7,6,"85.71%",1
"456992930","bcb23ac4-156a-48c9-a4a2-1621ddf36503","mission","📍 | Missão 2 – Página Principal","❓ | Aqui, você terá contato com a tela inicial do aplicativo, onde são apresentadas as principais informações e conteúdos. Explore a interface e identifique como a navegação é organizada.

🔵 | Lembre-se: nenhuma funcionalidade está ativa neste protótipo.

🎯 | Objetivo: Acessar a tela do formulário.
","457215158","2025-10-20 19:27:18","2025-10-20 19:51:37",1458.5,,"Mac OS","Apple","Macintosh","Chrome","130.0.0.0","pt-BR","link",,"GOAL_BASED","1151:1444;1151:1767","1151:1444",11.3,11.3,"TRUE","FALSE",47,15,7,6,"85.71%",1
"456992930","bcb23ac4-156a-48c9-a4a2-1621ddf36503","mission","📍 | Missão 2 – Página Principal","❓ | Aqui, você terá contato com a tela inicial do aplicativo, onde são apresentadas as principais informações e conteúdos. Explore a interface e identifique como a navegação é organizada.

🔵 | Lembre-se: nenhuma funcionalidade está ativa neste protótipo.

🎯 | Objetivo: Acessar a tela do formulário.
","457215158","2025-10-20 19:27:18","2025-10-20 19:51:37",1458.5,,"Mac OS","Apple","Macintosh","Chrome","130.0.0.0","pt-BR","link",,"GOAL_BASED","1151:1444;1151:1767","1151:1444",11.3,11.3,"TRUE","FALSE",48,16,7,6,"85.71%",1
"456992930","bcb23ac4-156a-48c9-a4a2-1621ddf36503","mission","📍 | Missão 2 – Página Principal","❓ | Aqui, você terá contato com a tela inicial do aplicativo, onde são apresentadas as principais informações e conteúdos. Explore a interface e identifique como a navegação é organizada.

🔵 | Lembre-se: nenhuma funcionalidade está ativa neste protótipo.

🎯 | Objetivo: Acessar a tela do formulário.
","457215158","2025-10-20 19:27:18","2025-10-20 19:51:37",1458.5,,"Mac OS","Apple","Macintosh","Chrome","130.0.0.0","pt-BR","link",,"GOAL_BASED","1151:1444;1151:1767","1151:1444",11.3,11.3,"TRUE","FALSE",83,17,7,6,"85.71%",1
"456992930","bcb23ac4-156a-48c9-a4a2-1621ddf36503","mission","📍 | Missão 2 – Página Principal","❓ | Aqui, você terá contato com a tela inicial do aplicativo, onde são apresentadas as principais informações e conteúdos. Explore a interface e identifique como a navegação é organizada.

🔵 | Lembre-se: nenhuma funcionalidade está ativa neste protótipo.

🎯 | Objetivo: Acessar a tela do formulário.
","457215158","2025-10-20 19:27:18","2025-10-20 19:51:37",1458.5,,"Mac OS","Apple","Macintosh","Chrome","130.0.0.0","pt-BR","link",,"GOAL_BASED","1151:1444;1151:1767","1151:1444",11.3,11.3,"TRUE","FALSE",85,33,7,6,"85.71%",1
